Nama Produk ,Produksi,Ukuran/Berat,Satuan,Kalori Total (kkal),% AKG_Kalori,Gula Total (gr),Konversi Gula Per Sendok Makan,% Rekomendasi,Karbohidrat Total (gr),% AKG_Karbohidrat,Lemak Total (gr),% AKG_Lemak,Lemak Jenuh (gr),% AKG_Lemak Jenuh,Protein,% AKG_Protein,Garam (mg),% AKG_Garam,Kode Barcode,Link Gambar Barcode,Link Gambar Produk
S-tee,PT. Sinar Sosro,200,ml,50,"2,325581395",13,"1,04",26,13,4,0,0,0,0,0,0,20,1,8 996006 861924,,
S-tee Jumbo,PT. Sinar Sosro,390,ml,100,"4,651162791",24,"1,92",48,24,8,0,0,0,0,0,0,40,2,8 996006 857705,,
Teh Kotak Less Sugar,PT. Ultrajaya Milk Industry & Trading Co,300,ml,75,"3,488372093","16,5","1,32",33,18,6,0,0,0,0,0,0,15,"1,5",8 998009 040283,,
Teh Kotak Teh Melati,PT. Ultrajaya Milk Industry & Trading Co,300,ml,105,"4,88372093","25,5","2,04",51,"25,5","7,5",0,0,0,0,0,0,15,"1,5",8 998009 040023,,
Tehbotol Sosro Less Sugar,PT. Sinar Sosro,250,ml,50,"2,325581395",12,"0,96",24,12,4,0,0,0,0,0,0,50,3,8 996006 856197,,
Fruit Tea Apel,PT. Sinar Sosro,200,ml,80,"3,720930233",18,"1,44",36,19,6,0,0,0,0,0,0,50,3,8 996006 120014,,
Fruit Tea Freeze Strawberry & Grape,PT. Sinar Sosro,200,ml,50,"2,325581395",12,"0,96",24,12,4,0,0,0,0,0,0,50,3,8 996006 856906,,
Fruit Tea Stroberi,PT. Sinar Sosro,200,ml,50,"2,325581395",12,"0,96",24,12,4,0,0,0,0,0,0,50,3,8 996006 742025,,
Fruit Tea Blackcurrant,PT. Sinar Sosro,200,ml,50,"2,325581395",12,"0,96",24,12,4,0,0,0,0,0,0,50,3,8 996006 841018,,
Hilo Calcium Thai Tea,PT. Nutrifood Indonesia,200,ml,110,"5,11627907",19,"1,52",38,21,7,2,3,"1,5",9,1,2,70,5,7 49921 030627,,
Teh Gelas,PT. CS2 Pola Sehat,350,ml,"61,25","2,848837209",14,"1,12",28,"15,75","5,25",0,0,0,0,0,0,35,"1,75",8 991102 228053,,
Pororo Manggo Flavor,Cowell F&B Inc,235,ml,130,"6,046511628",27,"2,16",54,32,10,0,0,0,0,0,0,30,2,6 48436 301010,,
Pororo Apple Flavor,Cowell F&B Inc,235,ml,130,"6,046511628",28,"2,24",56,32,10,0,0,0,0,0,0,30,2,8 801128 945462,,
Pororo Strawberry Flavor,Cowell F&B Inc,235,ml,130,"6,046511628",27,"2,16",54,31,10,0,0,0,0,0,0,35,2,8 801128 945288,,
Pororo Blueberry Flavor,Cowell F&B Inc,235,ml,120,"5,581395349",26,"2,08",52,30,9,0,0,0,0,0,0,35,2,8 809296 885801,,
Pororo Peach Flavor,Cowell F&B Inc,235,ml,130,"6,046511628",28,"2,24",56,32,10,0,0,0,0,0,0,30,2,6 48436 301027,,
Pororo Milk Flavor,Cowell F&B Inc,235,ml,130,"6,046511628",27,"2,16",54,31,10,0,0,0,0,0,0,30,2,8 801128 945073,,
